扬 揚
换 換
挥 揮
揸 摣
背 揹
揽 攬
揿 撳
搀 攙
搁 擱
搂 摟
搅 攪
构 搆
揿 搇
损 損
摇 搖
捣 搗
抢 搶
携 攜
榨 搾
摄 攝
摅 攄
摆 擺
摇 搖
摈 擯
摊 攤
掴 摑
掼 摜
搂 摟
揸 摣
挚 摯
抠 摳
抟 摶
折 摺
掺 摻
撄 攖
捞 撈
挦 撏
撑 撐
撑 撐
挠 撓
捻 撚
挢 撟
掸 撣
拨 撥
抚 撫
扑 撲
揿 撳
撵 攆
撷 擷
撸 擼
撺 攛
挞 撻
挝 撾
捡 撿
拥 擁
掳 擄
择 擇
击 擊
挡 擋
担 擔
携 擕
据 據
擞 擻
挤 擠
抬 擡
捣 擣
举 擧
拟 擬
摈 擯
拧 擰
搁 擱
掷 擲
扩 擴
撷 擷
摆 擺
擞 擻
撸 擼
扰 擾
摅 攄
撵 攆
拢 攏
攒 攢
拦 攔
撄 攖
搀 攙
撺 攛
携 攜
摄 攝
攒 攢
挛 攣
摊 攤
挡 攩
搅 攪
揽 攬
考 攷
敌 敵
叙 敍
败 敗
叙 敘
敛 斂
扬 敭
数 數
敌 敵
数 數
驱 敺
敛 斂
毙 斃
斋 齋
斓 斕
斓 斕
斗 鬥
斩 斬
斩 斬
断 斷
断 斷
于 於
旗 旂
无 無
旧 舊
时 時
旷 曠
旸 暘
升 昇
昙 曇
昼 晝
昽 曨
显 顯
时 時
晋 晉
晋 晉
晒 曬
晓 曉
晔 曄
晕 暈
晖 暉
昼 晝
暂 暫
晕 暈
晖 暉
旸 暘
畅 暢
暧 曖
暂 暫
昵 暱
晔 曄
历 曆
昙 曇
晓 曉
向 曏
暧 曖
旷 曠
叠 曡
昽 曨
晒 曬
书 書
会 會
胧 朧
札 劄
术 術
朴 樸
机 機
杀 殺
杂 雜
权 權
条 條
来 來
杨 楊
杩 榪
杰 傑
东 東
极 極
构 構
枞 樅
枢 樞
枣 棗
枥 櫪
枧 梘
枨 棖
枪 槍
枫 楓
枭 梟
拐 枴
柜 櫃
柠 檸
栅 柵
拐 柺
柽 檉
栀 梔
栅 柵
标 標
栈 棧
栉 櫛
栊 櫳
栋 棟
栌 櫨
栎 櫟
栏 欄
树 樹
栖 棲
样 樣
栾 欒
桊 棬
桠 椏
桡 橈
桢 楨
档 檔
桤 榿
桥 橋
桦 樺
桧 檜
桨 槳
桩 樁
杆 桿
栀 梔
枧 梘
条 條
枭 梟
梦 夢
捆 梱
梼 檮
梾 棶
检 檢
棂 欞
弃 棄
枨 棖
枣 棗
栋 棟
栈 棧
桊 棬
栖 棲
梾 棶
椁 槨
桠 椏
椟 櫝
椠 槧
椤 欏
椭 橢
杨 楊
枫 楓
桢 楨
业 業
极 極
楼 樓
榄 欖
榇 櫬
榈 櫚
榉 櫸
干 榦
杩 榪
荣 榮
桤 榿
盘 槃
构 構
枪 槍
杠 槓
槚 檟
槛 檻
槟 檳
槠 櫧
椠 槧
椁 槨
桨 槳
规 槼
桩 樁
乐 樂
枞 樅
梁 樑
楼 樓
标 標
枢 樞
样 樣
横 橫
樯 檣
樱 櫻
丛 樷
朴 樸
树 樹
桦 樺
桡 橈
桥 橋
机 機
椭 橢
橥 櫫
横 橫
槔 橰
橱 櫥
橹 櫓
橼 櫞
檩 檁
柽 檉
檐 簷
桧 檜
槚 檟
检 檢
樯 檣
檩 檁
梼 檮
台 檯
槟 檳
柠 檸
槛 檻
苘 檾
棹 櫂
柜 櫃
橹 櫓
榈 櫚
栉 櫛
椟 櫝
橼 櫞
栎 櫟
橱 櫥
槠 櫧
栌 櫨
枥 櫪
橥 櫫
榇 櫬
栊 櫳
榉 櫸
棂 櫺
樱 櫻
栏 欄
权 權
椤 欏
攒 欑
栾 欒
榄 欖
棂 欞
欢 歡
欤 歟
欧 歐
钦 欽
叹 歎
欧 歐
啸 歗
敛 歛
欤 歟
欢 歡
岁 歲
历 歷
归 歸
歼 殲
殁 歿
殁 歿
殇 殤
残 殘
殒 殞
殓 殮
残 殘
殚 殫
殒 殞
殡 殯
殇 殤
殚 殫
殓 殮
殡 殯
歼 殲
殴 毆
杀 殺
壳 殼
毁 毀
毁 毀
毂 轂
殴 毆
医 毉
毕 畢
毙 斃
毡 氈
绒 毧
球 毬
毵 毿
